rva	name	conf	size	n_callers	n_orphan_sites	best_caller	all_callers	orphan_sites	verdict
0x005b1160	FUN_005b1160	C2	29	0	3	-	-	005b77dd;005bd1a8;005b7960	ORPHAN_BLOCK_CALLERS
0x0049f2e0	FUN_0049f2e0	C2	29	0	0	-	-	-	NO_CALLERS_FOUND
0x004cbb00	FUN_004cbb00	C2	30	0	5	-	-	0049a828;0049a839;0049a84a;0049a858	ORPHAN_BLOCK_CALLERS
0x005bfb90	FUN_005bfb90	C2	30	0	1	-	-	005be861	ORPHAN_BLOCK_CALLERS
0x00451cc0	FUN_00451cc0	C2	30	0	4	-	-	00451fc8;004520e5;00452ad5;00452af5	ORPHAN_BLOCK_CALLERS
0x0047b230	FUN_0047b230	C2	31	0	0	-	-	-	NO_CALLERS_FOUND
0x004b7fd0	FUN_004b7fd0	C2	31	0	0	-	-	-	NO_CALLERS_FOUND
0x004d5550	FUN_004d5550	C2	31	0	6	-	-	0049a3ad;0049a3bb;0049a3c9;0049a7b5	ORPHAN_BLOCK_CALLERS
0x00474f30	FUN_00474f30	C2	32	0	0	-	-	-	NO_CALLERS_FOUND
0x005bfa20	FUN_005bfa20	C2	32	0	1	-	-	005be50f	ORPHAN_BLOCK_CALLERS
0x00496970	FUN_00496970	C2	34	0	0	-	-	-	NO_CALLERS_FOUND
0x0047b200	FUN_0047b200	C2	35	0	0	-	-	-	NO_CALLERS_FOUND
0x00407550	FUN_00407550	C2	35	0	1	-	-	00407687	ORPHAN_BLOCK_CALLERS
0x0052ddc0	FUN_0052ddc0	C2	35	0	2	-	-	005517a5;005519c1	ORPHAN_BLOCK_CALLERS
0x0047acd0	FUN_0047acd0	C2	36	0	0	-	-	-	NO_CALLERS_FOUND
0x0047ad00	FUN_0047ad00	C2	36	0	0	-	-	-	NO_CALLERS_FOUND
0x004cb2c0	FUN_004cb2c0	C2	36	0	2	-	-	004dc0dc;0049a897	ORPHAN_BLOCK_CALLERS
0x004722e0	FUN_004722e0	C2	37	0	1	-	-	0047234c	ORPHAN_BLOCK_CALLERS
0x00451060	FUN_00451060	C2	38	0	1	-	-	004492e6	ORPHAN_BLOCK_CALLERS
0x005ab010	FUN_005ab010	C2	39	0	1	-	-	005aafe0	ORPHAN_BLOCK_CALLERS
0x0049d240	FUN_0049d240	C2	43	0	0	-	-	-	NO_CALLERS_FOUND
0x0052df40	FUN_0052df40	C2	45	0	1	-	-	005517be	ORPHAN_BLOCK_CALLERS
0x00497470	FUN_00497470	C2	62	0	4	-	-	004983f9;0049843e;004984a1;004984bc	ORPHAN_BLOCK_CALLERS
0x00497b10	FUN_00497b10	C2	74	0	10	-	-	00498067;0049808a;004980ad;004980d0	ORPHAN_BLOCK_CALLERS
0x00484060	FUN_00484060	C2	75	0	1	-	-	0044914f	ORPHAN_BLOCK_CALLERS
0x004d8470	rwID_ERRORMODULE_dtor	C2		0	0	-	-	-	NOT_A_FUNCTION
0x004d8530	rwID_PIPEMODULE_ctor	C2		0	0	-	-	-	NOT_A_FUNCTION
