rva	name	conf	size	best_caller	harness_safety	brief_verdict	brief
0x00556d20	FontSys_InitBuffers	C2	73	0x00552b60(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
0x004cbb50	FUN_004cbb50	C2	11	0x004f8730(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x004af32d	FUN_004af32d	C2	13	0x004a3258(C3)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x0041d6d0	FUN_0041d6d0	C2	14	0x0041d890(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x0049f210	FUN_0049f210	C2	19	0x004a06c0(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x005a6c90	FUN_005a6c90	C2	25	0x005a6b70(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x005ad8b0	FUN_005ad8b0	C2	25	0x005ad770(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x005bcd80	FUN_005bcd80	C2	28	0x005bcc70(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x005b3550	FUN_005b3550	C2	39	0x005a9d00(C2)	TEARDOWN	NEEDS_NEW_HANDLER	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x0048bc10	FUN_0048bc10	C2	13	0x0040bd00(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x005b8080	FUN_005b8080	C2	15	0x005b1500(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x005571c0	FontSys_ShutdownFontPool	C2	25	0x00552b90(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x004c7600	FUN_004c7600	C2	28	0x004c6ba0(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b4.md
0x00494460	sub_00494460	C2	32	0x00495350(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
0x00418db0	FUN_00418db0	C2	35	0x00419530(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x004c5770	FUN_004c5770	C2	35	0x00552b90(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x005a60e0	FUN_005a60e0	C2	38	0x0045d430(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x00557220	FontSys_ShutdownDataPools	C2	39	0x00552b90(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
0x00483a40	FUN_00483a40	C2	41	0x004114e0(C3)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x005a5d60	FUN_005a5d60	C2	42	0x005a5910(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x00556ce0	FontSys_ShutdownBuffers	C2	54	0x00552b90(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x00556e40	FUN_00556e40	C2	67	0x00427620(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
0x00426b40	FUN_00426b40	C2	94	0x0040cfd0(C2)	TEARDOWN	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x004cbb20	FUN_004cbb20	C2	34	0x0049aae0(C2)	DESTROYS_DEVICE	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b5.md
