row,ppx,ppy,ppz,pdx,pdy,pdz,pzoom,pvw,ppairA,ppairB,mode,reset
228,0.382509,3.350650,5.054406,-0.122368,0.486019,-1.436819,2.749640,0.600000,0,3,0,0
229,0.381675,3.349395,5.052483,-0.122350,0.486019,-1.436974,2.749640,0.600000,0,3,0,0
230,0.380714,3.347958,5.050278,-0.122330,0.486019,-1.437151,2.749640,0.600000,0,3,0,0
231,0.379661,3.346391,5.047871,-0.122307,0.486019,-1.437344,2.749640,0.600000,0,3,0,0
232,0.378538,3.344733,5.045320,-0.122282,0.486019,-1.437548,2.749640,0.600000,0,3,0,0
233,0.377364,3.343013,5.042674,-0.122255,0.486019,-1.437759,2.749640,0.600000,0,3,0,0
234,0.376660,3.341987,5.041091,-0.122239,0.486019,-1.437885,2.749640,0.600000,0,3,0,0
235,0.375783,3.340720,5.039133,-0.122219,0.486019,-1.438040,2.749640,0.600000,0,3,0,0
236,0.374774,3.339270,5.036897,-0.122195,0.486019,-1.438218,2.749640,0.600000,0,3,0,0
237,0.373667,3.337687,5.034461,-0.122169,0.486019,-1.438411,2.749640,0.600000,0,3,0,0
238,0.372487,3.336014,5.031887,-0.122140,0.486019,-1.438616,2.749640,0.600000,0,3,0,0
239,0.371256,3.334279,5.029222,-0.122109,0.486019,-1.438827,2.749640,0.600000,0,3,0,0
240,0.370518,3.333243,5.027633,-0.122091,0.486019,-1.438953,2.749640,0.600000,0,3,0,0
241,0.369598,3.331963,5.025674,-0.122068,0.486019,-1.439109,2.749640,0.600000,0,3,0,0
242,0.368540,3.330501,5.023439,-0.122041,0.486019,-1.439286,2.749640,0.600000,0,3,0,0
243,0.367380,3.328906,5.021012,-0.122011,0.486019,-1.439480,2.749640,0.600000,0,3,0,0
244,0.366145,3.327218,5.018453,-0.121978,0.486019,-1.439685,2.749640,0.600000,0,3,0,0
245,0.364856,3.325470,5.015812,-0.121944,0.486019,-1.439897,2.749640,0.600000,0,3,0,0
246,0.364084,3.324427,5.014240,-0.121923,0.486019,-1.440023,2.749640,0.600000,0,3,0,0
247,0.363122,3.323137,5.012304,-0.121897,0.486019,-1.440179,2.749640,0.600000,0,3,0,0
248,0.362016,3.321664,5.010104,-0.121867,0.486019,-1.440357,2.749640,0.600000,0,3,0,0
249,0.360804,3.320057,5.007717,-0.121833,0.486019,-1.440552,2.749640,0.600000,0,3,0,0
250,0.359514,3.318358,5.005207,-0.121797,0.486019,-1.440757,2.749640,0.600000,0,3,0,0
251,0.358169,3.316597,5.002621,-0.121758,0.486019,-1.440969,2.749640,0.600000,0,3,0,0
252,0.357363,3.315547,5.001083,-0.121735,0.486019,-1.441096,2.749640,0.600000,0,3,0,0
253,0.356360,3.314249,4.999197,-0.121706,0.486019,-1.441252,2.749640,0.600000,0,3,0,0
254,0.355207,3.312766,4.997055,-0.121673,0.486019,-1.441431,2.749640,0.600000,0,3,0,0
255,0.353944,3.311149,4.994736,-0.121635,0.486019,-1.441625,2.749640,0.600000,0,3,0,0
256,0.352600,3.309440,4.992300,-0.121595,0.486019,-1.441831,2.749640,0.600000,0,3,0,0
257,0.351200,3.307669,4.989796,-0.121553,0.486019,-1.442043,2.749640,0.600000,0,3,0,0
258,0.350361,3.306613,4.988310,-0.121528,0.486019,-1.442170,2.749640,0.600000,0,3,0,0
259,0.349317,3.305307,4.986489,-0.121496,0.486019,-1.442327,2.749640,0.600000,0,3,0,0
260,0.348118,3.303816,4.984422,-0.121459,0.486019,-1.442506,2.749640,0.600000,0,3,0,0
261,0.346805,3.302191,4.982187,-0.121418,0.486019,-1.442701,2.749640,0.600000,0,3,0,0
262,0.345409,3.300474,4.979842,-0.121374,0.486019,-1.442907,2.749640,0.600000,0,3,0,0
263,0.343954,3.298695,4.977433,-0.121328,0.486019,-1.443120,2.749640,0.600000,0,3,0,0
