rva	name	subsystem
004173b0	FUN_004173b0	gameplay
004173e0	FUN_004173e0	render
00418bd0	FUN_00418bd0	render
00418f50	FUN_00418f50	gameplay
0041af50	FUN_0041af50	render
00489ce0	FUN_00489ce0	particle
00489dc0	FUN_00489dc0	particle
0048a130	FUN_0048a130	particle
0048a3c0	FUN_0048a3c0	particle
0048a430	FUN_0048a430	particle
0048aa50	FUN_0048aa50	particle
0049dcb0	FUN_0049dcb0	particle
0049de60	FUN_0049de60	particle
0049de70	FUN_0049de70	particle
0049de80	FUN_0049de80	particle
0049df70	FUN_0049df70	particle
0049e140	FUN_0049e140	particle
0049e190	FUN_0049e190	particle
0049e4b0	FUN_0049e4b0	particle
0049e580	FUN_0049e580	particle
0049e5c0	FUN_0049e5c0	particle
0049e600	FUN_0049e600	particle
0049e640	FUN_0049e640	particle
0049e6c0	FUN_0049e6c0	particle
0049ea70	FUN_0049ea70	particle
0049eab0	FUN_0049eab0	particle
0049ebf0	FUN_0049ebf0	particle
0049ec80	FUN_0049ec80	particle
0049eca0	FUN_0049eca0	particle
0049eeb0	FUN_0049eeb0	particle
0049ef10	FUN_0049ef10	particle
0049f090	thunk_FUN_004a28b0	particle
0049f1b0	FUN_0049f1b0	particle
0049f2e0	FUN_0049f2e0	particle
0049f5b0	FUN_0049f5b0	particle
0049f690	FUN_0049f690	particle
0049f830	FUN_0049f830	particle
0049f950	FUN_0049f950	particle
0049fe10	FUN_0049fe10	particle
004ddfb0	FUN_004ddfb0	third-party-library[renderware]
004de1b0	FUN_004de1b0	third-party-library[renderware]
004de390	FUN_004de390	third-party-library[renderware]
004de800	FUN_004de800	third-party-library[renderware]
004dee20	FUN_004dee20	third-party-library[renderware]
004dee40	FUN_004dee40	third-party-library[renderware]
004df120	FUN_004df120	third-party-library[renderware]
004df750	FUN_004df750	third-party-library[renderware]
004df870	FUN_004df870	third-party-library[renderware]
004df8a0	FUN_004df8a0	third-party-library[renderware]
004dfab0	FUN_004dfab0	render
004dfb10	FUN_004dfb10	render
004dfb60	FUN_004dfb60	render
004dfbc0	FUN_004dfbc0	render
004e02d0	FUN_004e02d0	render
004e1290	FUN_004e1290	third-party-library[renderware]
004e12a0	FUN_004e12a0	third-party-library[renderware]
004e12b0	FUN_004e12b0	third-party-library[renderware]
004e13f0	FUN_004e13f0	third-party-library[renderware]
004e14a0	FUN_004e14a0	third-party-library[renderware]
004e15f0	FUN_004e15f0	third-party-library[renderware]
004e1670	FUN_004e1670	third-party-library[renderware]
004e1710	FUN_004e1710	third-party-library[renderware]
004e1780	FUN_004e1780	third-party-library[renderware]
004e17e0	FUN_004e17e0	third-party-library[renderware]
004e18f0	FUN_004e18f0	third-party-library[renderware]
004e1960	FUN_004e1960	third-party-library[renderware]
004e19f0	FUN_004e19f0	third-party-library[renderware]
004e1a90	FUN_004e1a90	third-party-library[renderware]
004e1ac0	FUN_004e1ac0	third-party-library[renderware]
004e1b00	FUN_004e1b00	third-party-library[renderware]
004e1b30	FUN_004e1b30	third-party-library[renderware]
004e1c90	FUN_004e1c90	third-party-library[renderware]
005c1d63	_fseek	boot
005c1da2	FUN_005c1da2	boot
005c1dac	__ftol	boot
005c1dd3	FID_conflict:_fwprintf	boot
005c1e27	FUN_005c1e27	boot
005c1e31	FID_conflict:_ungetc	boot
005c1f1c	__setjmp3	boot
005c1f97	_strtod	boot
005c2025	_strcoll	boot
005c2090	FUN_005c2090	boot
005c21ba	FUN_005c21ba	boot
005c21e2	_frexp	boot
005c228e	FUN_005c228e	boot
005c229b	_rand	boot
005c22bd	_sscanf	boot
005c2300	_strncat	boot
005c2435	FID_conflict:__time32	boot
005c2470	shortsort	boot
005c24e0	FUN_005c24e0	boot
005c2770	FUN_005c2770	boot
