# CLEARED — non-leaf C2, all callees C2+, reachable. Ready to hand off.
rva	name	subsystem	size	n_callees	n_callers_c2plus	best_caller	shape_hint	blocking_callees
00426640	FUN_00426640	render	44	3	1	00410b30	read_global_u32	
00454bd0	FUN_00454bd0	render	44	2	1	00454c60	other	
0048aa20	FUN_0048aa20	render	44	1	2	00405ab0	other	
0049d1d0	FUN_0049d1d0	particle	44	0	2	0049d200	other	
004c1b10	FUN_004c1b10	render	44	2	8	00426810	other	
0055c810	PhysicsBodySetLinearVelocity	vehicle	44	1	3	0047d3c0	other	
005ad080	FUN_005ad080	audio	44	0	4	005a6110	other	
005bcc70	FUN_005bcc70	audio	44	2	3	005be260	other	
005c9490	FUN_005c9490	audio	44	2	1	005c1140	other	
0041a980	FUN_0041a980	render	45	2	1	0040cf80	other	
004672d0	FUN_004672d0	render	45	2	1	0040cda0	other	
00475010	FUN_00475010	render	45	1	1	00426780	other	
00493c60	FUN_00493c60	render	45	1	1	004943d0	other	
00494b20	FUN_00494b20	render	45	1	1	00494c60	other	
004954f0	FUN_004954f0	boot	45	6	1	00493560	other	
0049ebc0	FUN_0049ebc0	particle	45	1	3	00493c60	other	
004d8060	FUN_004d8060	render	45	0	9	004c0c20	other	
00552b60	FontSys_InitSeq	hud	45	7	1	00427ca0	const_setter	
005a6c60	FUN_005a6c60	audio	45	1	1	005a6b70	field_get_cdecl	
005bbf30	FUN_005bbf30	audio	45	0	5	005b9460	other	
00406130	FUN_00406130	gameplay	46	2	1	004072e0	other	
0041f060	FUN_0041f060	gameplay	46	1	1	0045bba0	arg_getter	
00452f00	FUN_00452f00	gameplay	46	2	1	00452f30	other	
00496010	FUN_00496010	input	46	2	1	004954f0	other	
005a7e70	FUN_005a7e70	audio	46	1	1	005abcf0	other	
005adbe0	FUN_005adbe0	audio	46	1	2	005aa200	other	
005af010	FUN_005af010	audio	46	2	1	005a8560	other	
005c9740	FUN_005c9740	audio	46	1	1	005c7ee0	other	
00410d10	FUN_00410d10	vehicle	47	1	1	00411170	other	
00425ea0	FUN_00425ea0	frontend	47	1	1	00426b40	other	
0045cc50	FUN_0045cc50	audio	47	2	1	0045d330	other	
0047b8a0	FUN_0047b8a0	input	47	1	1	0047b8d0	other	
0047f450	FUN_0047f450	gameplay	47	4	1	00426b40	read_global_u32	
004b40f0	FUN_004b40f0	render	47	1	5	0048a490	other	
004b7a70	FUN_004b7a70	input	47	2	1	0047b8a0	other	
004c5860	FUN_004c5860	render	47	0	1	00483fa0	other	
004c7730	FUN_004c7730	render	47	1	1	004c1be0	read_global_u32	
005a6d90	FUN_005a6d90	audio	47	0	1	005a6e10	other	
005af230	FUN_005af230	audio	47	0	1	005af260	arg_getter	
005af2d0	FUN_005af2d0	audio	47	3	1	005af010	other	
005b81d0	FUN_005b81d0	audio	47	0	1	005b3300	other	
0046be50	FUN_0046be50	gameplay	48	0	2	00420e00	other	
00477730	FUN_00477730	render	48	1	1	0040bd80	const_return	
00482900	FUN_00482900	vehicle	48	2	3	004113b0	other	
004b6770	FUN_004b6770	render	48	1	1	004b67a0	other	
004cbad0	FUN_004cbad0	render	48	0	1	0049aae0	other	
004d5310	FUN_004d5310	render	48	0	2	004c6ba0	read_global_u32	
005a6d60	FUN_005a6d60	audio	48	0	26	0045daf0	other	
00457610	FUN_00457610	gameplay	49	1	1	0040bde0	read_global_u32	
0045d330	FUN_0045d330	util	49	7	1	0045d3a0	other	
00486f50	FUN_00486f50	particle	49	1	1	0040bde0	read_global_u32	
0048f740	FUN_0048f740	util	49	3	2	0040bd80	other	
0049fc80	FUN_0049fc80	particle	49	0	1	0049ceb0	other	
004b5190	FUN_004b5190	vehicle	49	4	13	00407800	arg_getter	
005571e0	FontSys_InitFontPool	hud	49	1	1	00552b60	read_global_u32	
0040ddb0	FUN_0040ddb0	util	50	6	1	0040de10	other	
0045b990	FUN_0045b990	render	50	2	1	00410b30	other	
00474fd0	FUN_00474fd0	render	50	1	1	00479330	other	
004898d0	FUN_004898d0	gameplay	50	1	1	00489c60	other	
004c3270	sub_004c3270	render	50	2	2	00493710	other	
005a6e10	FUN_005a6e10	audio	50	1	3	005a6670	other	
