address	outcome	detail
0x004c8600	SKIP_DEFINED_DATA	pointer
0x004c8603	SKIP_NO_CODE	disassemble() produced no instruction
0x004c861f	SKIP_DEFINED_DATA	byte
0x004c8628	SKIP_DEFINED_DATA	pointer
0x004c8c4c	SKIP_DEFINED_DATA	pointer
0x004c8c58	SKIP_DEFINED_DATA	byte
0x004c926c	SKIP_DEFINED_DATA	pointer
0x004c9274	SKIP_DEFINED_DATA	byte
0x004c9290	CREATED	FUN_004c9290	size=2107
0x004c9e8c	SKIP_DEFINED_DATA	pointer
0x004c9e98	SKIP_DEFINED_DATA	byte
0x004ca160	CREATED	FUN_004ca160	size=2482
0x004cab30	CREATED	FUN_004cab30	size=223
0x004cac10	CREATED	FUN_004cac10	size=639
0x004cbca0	CREATED	FUN_004cbca0	size=96
0x004cbd00	CREATED	FUN_004cbd00	size=43
0x004cbe70	SKIP_DEFINED_DATA	pointer
0x004cc040	SKIP_DEFINED_DATA	pointer
0x004cc14c	SKIP_DEFINED_DATA	pointer
0x004cc214	SKIP_DEFINED_DATA	pointer
0x004cc3e8	SKIP_DEFINED_DATA	pointer
0x004cc50c	SKIP_DEFINED_DATA	pointer
0x004cca80	CREATED	FUN_004cca80	size=286
0x004ccef0	CREATED	FUN_004ccef0	size=14
0x004ccf00	CREATED	FUN_004ccf00	size=19
0x004cd2b0	SKIP_DEFINED_DATA	pointer
0x004cd410	SKIP_DEFINED_DATA	pointer
0x004cd7d4	SKIP_DEFINED_DATA	pointer
0x004cd7ec	SKIP_DEFINED_DATA	pointer
0x004cd810	CREATED	FUN_004cd810	size=61
0x004cd850	CREATED	FUN_004cd850	size=166
0x004cd900	CREATED	FUN_004cd900	size=608
0x004cdb60	CREATED	FUN_004cdb60	size=313
0x004ce6f0	CREATED	FUN_004ce6f0	size=145
0x004cfdd0	CREATED	FUN_004cfdd0	size=19
0x004cfdf0	CREATED	FUN_004cfdf0	size=40
0x004d026c	SKIP_DEFINED_DATA	pointer
0x004d0508	SKIP_DEFINED_DATA	pointer
0x004d0520	CREATED	FUN_004d0520	size=133
0x004d05b0	CREATED	FUN_004d05b0	size=132
0x004d0640	CREATED	FUN_004d0640	size=23
0x004d075c	SKIP_DEFINED_DATA	pointer
0x004d0774	SKIP_DEFINED_DATA	pointer
0x004d078c	SKIP_DEFINED_DATA	pointer
0x004d0fc0	CREATED	FUN_004d0fc0	size=23
0x004d0fe0	CREATED	FUN_004d0fe0	size=23
0x004d1000	CREATED	FUN_004d1000	size=19
0x004d15d4	SKIP_DEFINED_DATA	pointer
0x004d15f0	CREATED	FUN_004d15f0	size=51
0x004d1630	CREATED	FUN_004d1630	size=15
0x004d1d08	SKIP_DEFINED_DATA	pointer
0x004d1e14	SKIP_DEFINED_DATA	pointer
0x004d2328	SKIP_DEFINED_DATA	pointer
0x004d294c	SKIP_DEFINED_DATA	pointer
0x004d2964	SKIP_DEFINED_DATA	pointer
0x004d342c	SKIP_DEFINED_DATA	pointer
0x004d3450	CREATED	FUN_004d3450	size=117
0x004d34d0	CREATED	FUN_004d34d0	size=16
0x004d34e0	CREATED	FUN_004d34e0	size=45
0x004d6b18	SKIP_DEFINED_DATA	pointer
0x004d7a48	SKIP_DEFINED_DATA	pointer
0x004d7d70	CREATED	FUN_004d7d70	size=55
0x004d8430	CREATED	FUN_004d8430	size=59
0x004d8470	CREATED	FUN_004d8470	size=16
0x004d8530	CREATED	FUN_004d8530	size=25
0x004d8550	CREATED	FUN_004d8550	size=10
0x004d86d0	CREATED	FUN_004d86d0	size=42
0x004d8700	CREATED	FUN_004d8700	size=42
0x004d8730	CREATED	FUN_004d8730	size=26
0x004d8750	CREATED	FUN_004d8750	size=26
0x004d8a80	CREATED	FUN_004d8a80	size=240
0x004d8b70	CREATED	FUN_004d8b70	size=90
0x004d8fa0	CREATED	FUN_004d8fa0	size=96
0x004d9000	CREATED	FUN_004d9000	size=43
0x004d9030	CREATED	FUN_004d9030	size=16
0x004d9040	CREATED	FUN_004d9040	size=16
0x004dbc78	SKIP_DEFINED_DATA	pointer
0x004dd2e0	CREATED	FUN_004dd2e0	size=888
0x004dd660	CREATED	FUN_004dd660	size=1604
0x004de7d0	SKIP_DEFINED_DATA	pointer
0x004de7dc	SKIP_DEFINED_DATA	pointer
0x004dea34	SKIP_DEFINED_DATA	pointer
0x004dea6b	SKIP_NO_CODE	disassemble() produced no instruction
0x004deae4	SKIP_DEFINED_DATA	pointer
0x004deaf0	SKIP_DEFINED_DATA	pointer
0x004deb20	CREATED	FUN_004deb20	size=40
0x004deb50	CREATED	FUN_004deb50	size=40
0x004deb80	CREATED	FUN_004deb80	size=39
0x004debb0	CREATED	FUN_004debb0	size=50
0x004debf0	CREATED	FUN_004debf0	size=66
0x004dec40	CREATED	FUN_004dec40	size=41
0x004dec70	CREATED	FUN_004dec70	size=37
0x004deca0	CREATED	FUN_004deca0	size=37
0x004decd0	CREATED	FUN_004decd0	size=31
0x004decf0	CREATED	FUN_004decf0	size=29
0x004ded10	CREATED	FUN_004ded10	size=25
0x004ded30	CREATED	FUN_004ded30	size=33
0x004ded60	CREATED	FUN_004ded60	size=33
0x004ded90	CREATED	FUN_004ded90	size=21
0x004dedb0	CREATED	FUN_004dedb0	size=22
0x004dedd0	CREATED	FUN_004dedd0	size=41
0x004dee00	CREATED	FUN_004dee00	size=23
0x004df030	CREATED	FUN_004df030	size=204
0x004df6ac	SKIP_DEFINED_DATA	pointer
0x004df6bc	SKIP_DEFINED_DATA	pointer
0x004df740	SKIP_DEFINED_DATA	pointer
0x004df7c8	SKIP_DEFINED_DATA	pointer
0x004df7f3	SKIP_NO_CODE	disassemble() produced no instruction
0x004e0760	SKIP_DEFINED_DATA	pointer
0x004e078b	SKIP_NO_CODE	disassemble() produced no instruction
0x004e0804	SKIP_DEFINED_DATA	pointer
0x004e082f	SKIP_NO_CODE	disassemble() produced no instruction
0x004e2f70	CREATED	FUN_004e2f70	size=34
0x004e36a0	CREATED	FUN_004e36a0	size=225
0x004e3790	CREATED	FUN_004e3790	size=109
0x004e3800	CREATED	FUN_004e3800	size=67
0x004e3b30	CREATED	FUN_004e3b30	size=72
0x004e3b80	CREATED	FUN_004e3b80	size=80
0x004e3bd0	CREATED	FUN_004e3bd0	size=48
0x004e3dc0	CREATED	FUN_004e3dc0	size=119
0x004e3e40	CREATED	FUN_004e3e40	size=40
0x004e3e70	CREATED	FUN_004e3e70	size=41
0x004e3ea0	CREATED	FUN_004e3ea0	size=32
0x004e40d0	CREATED	FUN_004e40d0	size=85
0x004e4190	CREATED	FUN_004e4190	size=27
0x004e41e0	CREATED	FUN_004e41e0	size=18
0x004e4200	CREATED	FUN_004e4200	size=19
0x004e4220	CREATED	FUN_004e4220	size=27
0x004e4240	CREATED	FUN_004e4240	size=14
0x004e4250	CREATED	FUN_004e4250	size=19
0x004e4270	CREATED	FUN_004e4270	size=27
0x004e4290	CREATED	FUN_004e4290	size=14
0x004e44e0	CREATED	FUN_004e44e0	size=52
0x004e4520	CREATED	FUN_004e4520	size=71
0x004e4570	CREATED	FUN_004e4570	size=54
0x004e4650	CREATED	FUN_004e4650	size=155
0x004e46f0	CREATED	FUN_004e46f0	size=132
0x004e4780	CREATED	FUN_004e4780	size=45
0x004e4e60	CREATED	FUN_004e4e60	size=84
0x004e4f00	CREATED	FUN_004e4f00	size=100
0x004e5e20	CREATED	FUN_004e5e20	size=66
0x004e5e70	CREATED	FUN_004e5e70	size=121
0x004e5f70	CREATED	FUN_004e5f70	size=27
0x004e6250	CREATED	FUN_004e6250	size=152
0x004e64f0	CREATED	FUN_004e64f0	size=205
0x004e6610	CREATED	FUN_004e6610	size=23
0x004e6630	CREATED	FUN_004e6630	size=23
0x004e6d40	CREATED	FUN_004e6d40	size=52
0x004e7ed0	CREATED	FUN_004e7ed0	size=27
0x004e7ef0	CREATED	FUN_004e7ef0	size=100
0x004e7f60	CREATED	FUN_004e7f60	size=61
0x004e8540	CREATED	FUN_004e8540	size=25
0x004e8560	CREATED	FUN_004e8560	size=16
0x004e9990	CREATED	FUN_004e9990	size=27
0x004ea4c0	CREATED	FUN_004ea4c0	size=16
0x004ea4d0	CREATED	FUN_004ea4d0	size=16
0x004eb320	CREATED	FUN_004eb320	size=39
0x004eba70	CREATED	FUN_004eba70	size=137
0x004ecdd9	CREATED	FUN_004ecdd9	size=139
0x004ef893	SKIP_DEFINED_DATA	pointer
0x004efa93	SKIP_DEFINED_DATA	pointer
0x004efc39	SKIP_DEFINED_DATA	pointer
0x004efe6a	SKIP_DEFINED_DATA	pointer
0x004f08e0	CREATED	FUN_004f08e0	size=16
0x004f08f0	CREATED	FUN_004f08f0	size=16
0x004f0990	CREATED	FUN_004f0990	size=46
0x004f09c0	CREATED	FUN_004f09c0	size=282
0x004f2420	CREATED	FUN_004f2420	size=334
0x004f38c0	CREATED	FUN_004f38c0	size=567
0x004f4310	CREATED	FUN_004f4310	size=39
0x004f4540	CREATED	FUN_004f4540	size=48
0x004f4570	CREATED	FUN_004f4570	size=230
0x004f4660	CREATED	FUN_004f4660	size=51
0x004f57a4	SKIP_DEFINED_DATA	undefined *
0x004f5e84	SKIP_DEFINED_DATA	pointer
0x004f71b4	SKIP_DEFINED_DATA	pointer
0x004f77ac	SKIP_DEFINED_DATA	pointer
0x004f79d4	SKIP_DEFINED_DATA	undefined *
0x004f8168	SKIP_DEFINED_DATA	pointer
0x004f83c4	SKIP_DEFINED_DATA	pointer
0x004f8600	CREATED	FUN_004f8600	size=19
0x004f8620	CREATED	FUN_004f8620	size=16
0x004f8630	CREATED	FUN_004f8630	size=16
0x004fbe21	CREATED	FUN_004fbe21	size=20
0x004fc6f5	CREATED	FUN_004fc6f5	size=105
0x004fc75e	CREATED	FUN_004fc75e	size=53
0x004fc793	CREATED	FUN_004fc793	size=139
0x004fc81e	CREATED	FUN_004fc81e	size=95
0x004fc87d	CREATED	FUN_004fc87d	size=153
0x004fef85	SKIP_DEFINED_DATA	pointer
0x004ff498	SKIP_DEFINED_DATA	pointer
0x005003f7	SKIP_DEFINED_DATA	pointer
0x0050245e	CREATED	FUN_0050245e	size=172
0x0050398a	SKIP_DEFINED_DATA	pointer
0x005039fa	SKIP_DEFINED_DATA	byte
0x00505e60	CREATED	FUN_00505e60	size=62
0x00505e9e	CREATED	FUN_00505e9e	size=87
0x00505ef5	CREATED	FUN_00505ef5	size=55
0x00505ff8	CREATED	FUN_00505ff8	size=308
0x00506931	CREATED	FUN_00506931	size=93
0x0050698e	CREATED	FUN_0050698e	size=73
0x005069d7	CREATED	FUN_005069d7	size=82
0x00508cc0	CREATED	FUN_00508cc0	size=607
0x00508f20	CREATED	FUN_00508f20	size=581
0x00509180	CREATED	FUN_00509180	size=438
0x005093e0	CREATED	FUN_005093e0	size=797
0x00509700	CREATED	FUN_00509700	size=636
0x0050997c	CREATED	FUN_0050997c	size=153
0x00509a15	CREATED	FUN_00509a15	size=93
0x00509ab6	CREATED	FUN_00509ab6	size=540
0x00509cd2	CREATED	FUN_00509cd2	size=533
