rva	klass	shape	arg_type	subsystem	size	reason
004d5480	STATE	-	-	render	67	STATE: reads live global / derefs arg → needs booted game
004d54d0	STATE	-	-	render	18	STATE: reads live global / derefs arg → needs booted game
004d54f0	STATE	-	-	render	90	STATE: reads live global / derefs arg → needs booted game
004d6c40	STATE	-	-	render	78	STATE: reads live global / derefs arg → needs booted game
004d6c90	STATE	-	-	render	78	STATE: reads live global / derefs arg → needs booted game
004d7100	STATE	-	-	render	235	STATE: reads live global / derefs arg → needs booted game
004d8c40	STATE	-	-	frontend	118	STATE: reads live global / derefs arg → needs booted game
004e4350	STATE	-	-	render	33	STATE: reads live global / derefs arg → needs booted game
00516c40	STATE	-	-	util	128	STATE: reads live global / derefs arg → needs booted game
00517200	STATE	-	-	util	70	STATE: reads live global / derefs arg → needs booted game
005172f0	STATE	-	-	util	143	STATE: reads live global / derefs arg → needs booted game
005199f0	STATE	-	-	util	248	STATE: reads live global / derefs arg → needs booted game
00519af0	STATE	-	-	util	196	STATE: reads live global / derefs arg → needs booted game
00520ef0	STATE	-	-	util	257	STATE: reads live global / derefs arg → needs booted game
00528e30	STATE	-	-	util	181	STATE: reads live global / derefs arg → needs booted game
00557110	STATE	-	-	hud	169	STATE: reads live global / derefs arg → needs booted game
00558100	STATE	-	-	gameplay	63	STATE: reads live global / derefs arg → needs booted game
00558140	STATE	-	-	gameplay	51	STATE: reads live global / derefs arg → needs booted game
005a7420	STATE	-	-	audio	64	STATE: reads live global / derefs arg → needs booted game
005a7a60	STATE	-	-	audio	60	STATE: reads live global / derefs arg → needs booted game
005aa030	STATE	-	-	audio	38	STATE: reads live global / derefs arg → needs booted game
005aa9c0	STATE	-	-	audio	60	STATE: reads live global / derefs arg → needs booted game
005ab980	STATE	-	-	audio	78	STATE: reads live global / derefs arg → needs booted game
005ae170	STATE	-	-	audio	81	STATE: reads live global / derefs arg → needs booted game
005ae4c0	STATE	-	-	audio	139	STATE: reads live global / derefs arg → needs booted game
005ae550	STATE	-	-	audio	58	STATE: reads live global / derefs arg → needs booted game
005aed20	STATE	-	-	audio	119	STATE: reads live global / derefs arg → needs booted game
005af700	STATE	-	-	audio	63	STATE: reads live global / derefs arg → needs booted game
005b0b60	STATE	-	-	audio	37	STATE: reads live global / derefs arg → needs booted game
005b0bb0	STATE	-	-	audio	190	STATE: reads live global / derefs arg → needs booted game
005b0cf0	STATE	-	-	audio	170	STATE: reads live global / derefs arg → needs booted game
005b0ec0	STATE	-	-	audio	71	STATE: reads live global / derefs arg → needs booted game
005b0f90	STATE	-	-	audio	104	STATE: reads live global / derefs arg → needs booted game
005b1180	STATE	-	-	audio	67	STATE: reads live global / derefs arg → needs booted game
005b11d0	STATE	-	-	audio	31	STATE: reads live global / derefs arg → needs booted game
005b2fd0	STATE	-	-	audio	70	STATE: reads live global / derefs arg → needs booted game
005b35e0	STATE	-	-	audio	58	STATE: reads live global / derefs arg → needs booted game
005b6a40	STATE	-	-	audio	191	STATE: reads live global / derefs arg → needs booted game
005b6b00	STATE	-	-	audio	123	STATE: reads live global / derefs arg → needs booted game
005b93a0	STATE	-	-	audio	102	STATE: reads live global / derefs arg → needs booted game
005baf00	STATE	-	-	audio	62	STATE: reads live global / derefs arg → needs booted game
005c1f1c	STATE	-	-	boot	123	STATE: reads live global / derefs arg → needs booted game
005c2f0a	STATE	-	-	boot	28	STATE: reads live global / derefs arg → needs booted game
005c2f58	STATE	-	-	boot	22	STATE: reads live global / derefs arg → needs booted game
005c6b60	STATE	-	-	boot	75	STATE: reads live global / derefs arg → needs booted game
005c95b0	STATE	-	-	audio	204	STATE: reads live global / derefs arg → needs booted game
0041a4a0	MANUAL	-	-	gameplay	92	MANUAL: unrecognized leaf shape
0041e170	MANUAL	-	-	gameplay	71	MANUAL: unrecognized leaf shape
004223f0	MANUAL	-	-	gameplay	72	MANUAL: unrecognized leaf shape
