rva	name	subsystem	arg_type	note	callees
00430670	FUN_00430670	frontend	unknown	re/analysis/hud_frontend_d5/0x00430670.md	00413f90,0043067f,004306a9,004306b5,004306d3,005f2b10,0067e9fc,0067ea94,0067ea98,0067f17c,007f1a1c
004a2b60	FUN_004a2b60	frontend	unknown	re/analysis/promote_c1_high_ab3/0x004a2b60.md	004a2b6f,004a2b73,004a2b97,004a4ea8,004a504f
00423b00	FUN_00423b00	frontend	unknown	re/analysis/frontend_gate_unblock_u/0x00423b00.md	
00497b60	FUN_00497b60	frontend	unknown	re/analysis/cluster_0049_first_pass/00497b60.md	00497d31,00499720,00499740,004a2b60,00615fe8,007719e8,00773118,007e95c4,007e96c8
0041dc30	FUN_0041dc30	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/0041dc30.md	00417730,0063d590,0063d594,0063d598,0063d59c
00422470	FUN_00422470	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/00422470.md	004223f0,00422440,00422474,00422479,0042247e,00422484,0042248a,004a2c48,004a3090
004224d0	FUN_004224d0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/004224d0.md	004224e0,004224ec,004b6520,005f6154,006403e8,006412e8,006412ec,006412f0,006412f4,006412f8,006412fc,00641300,00641304,00641308,0064130c,00641310,00641314,0064131c,00641320
00424270	FUN_00424270	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00424270.md	
00424b80	FUN_00424b80	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00424b80.md	
00425b90	FUN_00425b90	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00425b90.md	
00425bf0	FUN_00425bf0	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00425bf0.md	
00425c00	FUN_00425c00	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00425c00.md	
00425ca0	FUN_00425ca0	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00425ca0.md	
00426b40	FUN_00426b40	frontend	unknown	re/analysis/frontend_c1_to_c2_s4/FUN_00426b40.md	
00426c50	FUN_00426c50	frontend	unknown	re/analysis/frontend_c1_to_c2_s4/FUN_00426c50.md	0041e940,0041ea60
00426d20	FUN_00426d20	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00426d20.md	
00426d90	FUN_00426d90	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00426d90.md	
004273e0	FUN_004273e0	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_004273e0.md	
00427880	FUN_00427880	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00427880.md	
0042a640	FUN_0042a640	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042a640.md	0042a530,004b3c60,005f65b4,0067dba8,0067e3a8,007d3ff8
0042add0	FUN_0042add0	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042add0.md	0042ad90,0067e9f8,0067ed38
0042fab0	FUN_0042fab0	frontend	unknown	re/analysis/bucket_0041dc30/0x0042fab0.md	0040bb90
00430250	FUN_00430250	frontend	unknown	re/analysis/bucket_0041dc30/0x00430250.md	0040d430,007f0cb0
00431b70	FUN_00431b70	frontend	unknown	re/analysis/bucket_0041dc30/0x00431b70.md	007f0f10
00432450	FUN_00432450	frontend	unknown	re/analysis/bucket_0041dc30/0x00432450.md	0042bfb0,0042c1a0,0067eab0,0067eab4,0067eabc,0067ece4,0067ece8,0067ecf0
00433240	FUN_00433240	frontend	unknown	re/analysis/bucket_0041dc30/0x00433240.md	00402f80,0042d3a0,0067e844,0067e914,0067e9f8,0067ea84,0067eca4,0067ecac,0067ecb0
004332a0	FUN_004332a0	frontend	unknown	re/analysis/bucket_0041dc30/0x004332a0.md	0042ac50,00430760,00496910,00497450,005cd90c,0067eab0,0067eaf0,0067eafc,0067ed14,0067ed70,0067f0c0,007f0fe8,007f1004,007f1504,007f1a0c,007f1a14
0043aee0	FUN_0043aee0	frontend	unknown	re/analysis/bucket_0041dc30/0x0043aee0.md	004307a0,0067ed6c,0067f17c,007f0a40
004893d0	FUN_004893d0	frontend	unknown	re/analysis/bucket_0041dc30/0x004893d0.md	
