rw_name	module	return_type	arg_signature	source_file	line	also_in
RwRasterGetPluginOffset	raster	RwInt32	RwUInt32 pluginID	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	328	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwRasterGetStride	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1716	
RwRasterGetType	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1719	
RwRasterGetWidth	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1714	
RwRasterLock	raster	RwUInt8*	RwRaster* raster, RwUInt8 level, RwInt32 lockMode	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	308	
RwRasterLockPalette	raster	RwUInt8*	RwRaster* raster, RwInt32 lockMode	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	316	
RwRasterPopContext	raster	RwRaster*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	287	
RwRasterPushContext	raster	RwRaster*	RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	283	
RwRasterRead	raster	RwRaster*	const RwChar* filename	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	840	
RwRasterReadMaskedRaster	raster	RwRaster*	const RwChar* filename, const RwChar* maskname	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	844	
RwRasterRegisterPlugin	raster	RwInt32	RwInt32 size, RwUInt32 pluginID, RwPluginObjectConstructor constructCB, RwPluginObjectDestructor destructCB, RwPluginObjectCopy copyCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	324	
RwRasterRender	raster	RwRaster*	RwRaster* raster, RwInt32 x, RwInt32 y	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	275	
RwRasterRenderFast	raster	RwRaster*	RwRaster* raster, RwInt32 x, RwInt32 y	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	271	
RwRasterRenderScaled	raster	RwRaster*	RwRaster* raster, RwRect* rect	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	279	
RwRasterSetFreeListCreateParams	raster	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	247	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
