rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
005bcab0	audio	FUN_005bcab0	198	1	fastcall/thiscall	1	int	-	0	low	0	-	0	0	0.0	-	1	0	8	0
005bcbb0	audio	FUN_005bcbb0	42	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	1	0
005bcbe0	audio	FUN_005bcbe0	144	3	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bcc70	audio	FUN_005bcc70	44	2	cdecl	2	int	int_pair	1	low	0	Win32	0	0	0.0	-	0	0	1	0
005bcca0	audio	FUN_005bcca0	107	0	cdecl	2	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005bcd10	audio	FUN_005bcd10	100	0	cdecl	1	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005bcd80	audio	FUN_005bcd80	28	1	cdecl	1	void	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bcda0	audio	FUN_005bcda0	126	0	cdecl	1	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005bce80	audio	FUN_005bce80	95	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	1	3	0
005bd500	audio	FUN_005bd500	261	1	cdecl	6	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bd610	audio	FUN_005bd610	43	0	cdecl	0	int	-	0	low	0	-	0	0	0.0	-	1	1	4	0
005bd6f0	audio	FUN_005bd6f0	748	11	cdecl	1	int	-	0	med	0	-	0	0	0.09	-	1	1	0	0
005bd9e0	audio	FUN_005bd9e0	115	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	1	1	0
005bdad0	audio	FUN_005bdad0	407	7	cdecl	1	int	-	0	med	0	-	0	0	0.0	-	1	1	0	0
005bdc70	audio	FUN_005bdc70	140	2	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005bde70	audio	FUN_005bde70	120	0	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bdef0	audio	FUN_005bdef0	79	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bdf40	audio	FUN_005bdf40	162	2	cdecl	1	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005bdff0	audio	FUN_005bdff0	135	0	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be080	audio	FUN_005be080	111	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be0f0	audio	FUN_005be0f0	71	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
005be160	audio	FUN_005be160	40	3	stdcall	1	void	int_scalar	1	low	0	-	0	0	0.0	-	0	0	0	0
005be1b0	audio	FUN_005be1b0	61	3	stdcall	3	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be260	audio	FUN_005be260	481	11	cdecl	6	int	-	0	low	0	Win32	0	0	0.0	-	1	1	7	0
005be450	audio	FUN_005be450	116	3	stdcall	1	int	int_scalar	1	low	0	Win32	0	0	0.0	-	0	0	3	0
005be540	audio	FUN_005be540	171	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be5f0	audio	FUN_005be5f0	64	1	cdecl	1	int	-	0	low	0	Win32	0	0	0.0	-	1	0	1	0
005be630	audio	FUN_005be630	67	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005be720	audio	FUN_005be720	99	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be8c0	audio	FUN_005be8c0	110	3	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
005be940	audio	FUN_005be940	70	2	stdcall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be990	audio	FUN_005be990	89	3	stdcall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005be9f0	audio	FUN_005be9f0	111	0	stdcall	5	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005beaa0	audio	FUN_005beaa0	52	1	stdcall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005beae0	audio	FUN_005beae0	108	3	cdecl	2	int	int_pair	1	low	0	Win32	0	0	0.0	-	0	1	4	0
005beba0	audio	FUN_005beba0	101	2	stdcall	3	int	-	0	low	0	-	0	0	0.0	-	1	0	3	0
005bec10	audio	FUN_005bec10	124	3	stdcall	1	int	-	0	low	0	Win32	0	0	0.0	-	1	1	3	0
005bedc0	audio	FUN_005bedc0	69	0	stdcall	2	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005bef20	audio	FUN_005bef20	52	1	stdcall	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bf000	audio	FUN_005bf000	66	2	stdcall	2	int	-	0	low	0	COM/DShow	1	0	0.0	-	1	0	1	0
005bf050	audio	FUN_005bf050	99	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bf0c0	audio	FUN_005bf0c0	145	0	cdecl	6	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bf160	audio	FUN_005bf160	198	0	cdecl	8	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bf230	audio	FUN_005bf230	275	4	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	1	7	0
005bf350	audio	FUN_005bf350	31	1	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bf370	audio	FUN_005bf370	71	3	stdcall	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	0	0
005bf470	audio	FUN_005bf470	94	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005bf4d0	audio	FUN_005bf4d0	108	2	stdcall	4	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005bf610	audio	FUN_005bf610	79	3	cdecl	2	int	int_pair	1	low	0	-	0	0	0.0	-	0	1	1	0
005bf670	audio	FUN_005bf670	17	0	cdecl	1	int	int_scalar	1	low	0	Win32	0	0	0.0	-	0	0	1	0
