va	file_off	section	encoding	length	text
0x005cde28	0x1cde28	.rdata	ascii	11	Shine_Scale
0x005cde34	0x1cde34	.rdata	ascii	23	Vehicle_Shininess_Range
0x005cde4c	0x1cde4c	.rdata	ascii	10	Modify_Fog
0x005cde58	0x1cde58	.rdata	ascii	9	Setup_Fog
0x005cde64	0x1cde64	.rdata	ascii	11	Ambient_RGB
0x005cde70	0x1cde70	.rdata	ascii	15	Lights_Filename
0x005cde80	0x1cde80	.rdata	ascii	16	Powerup_Filename
0x005cde94	0x1cde94	.rdata	ascii	24	Clump_Exclude_From_World
0x005cdeb0	0x1cdeb0	.rdata	ascii	11	Course_Name
0x005cdebc	0x1cdebc	.rdata	ascii	14	Physics_Object
0x005cdecc	0x1cdecc	.rdata	ascii	14	Clump_Mts_Pair
0x005cdedc	0x1cdedc	.rdata	ascii	21	General_Anim_Filename
0x005cdef4	0x1cdef4	.rdata	ascii	20	Camera_Anim_Filename
0x005cdf0c	0x1cdf0c	.rdata	ascii	15	Spline_Filename
0x005cdf1c	0x1cdf1c	.rdata	ascii	12	UVA_Filename
0x005cdf2c	0x1cdf2c	.rdata	ascii	14	Clump_Filename
0x005cdf3c	0x1cdf3c	.rdata	ascii	12	Mts_Filename
0x005cdf4c	0x1cdf4c	.rdata	ascii	12	Sky_Filename
0x005cdf5c	0x1cdf5c	.rdata	ascii	17	Occluder_Filename
0x005cdf70	0x1cdf70	.rdata	ascii	27	Texture_Dictionary_Filename
0x005cdf8c	0x1cdf8c	.rdata	ascii	22	Collision_Bsp_Filename
0x005cdfa4	0x1cdfa4	.rdata	ascii	19	Object_Bsp_Filename
0x005cdfb8	0x1cdfb8	.rdata	ascii	18	Hoppy_Bsp_Filename
0x005cdfcc	0x1cdfcc	.rdata	ascii	18	World_Bsp_Filename
0x005cdfe0	0x1cdfe0	.rdata	ascii	16	AI_Data_Filename
0x005cdff4	0x1cdff4	.rdata	ascii	15	AI_Bsp_Filename
0x005ce004	0x1ce004	.rdata	ascii	9	Course_Id
0x005ce054	0x1ce054	.rdata	ascii	4	Back
0x005ce05c	0x1ce05c	.rdata	ascii	12	Delete Point
0x005ce06c	0x1ce06c	.rdata	ascii	12	Insert Point
0x005ce07c	0x1ce07c	.rdata	ascii	13	Edit Point %d
0x005ce08c	0x1ce08c	.rdata	ascii	14	Edit Spline %d
0x005ce09c	0x1ce09c	.rdata	ascii	10	Lap frames
0x005ce0a8	0x1ce0a8	.rdata	ascii	11	single step
0x005ce0b4	0x1ce0b4	.rdata	ascii	9	stop race
0x005ce0c0	0x1ce0c0	.rdata	ascii	10	start race
0x005ce0cc	0x1ce0cc	.rdata	ascii	9	reset car
0x005ce0d8	0x1ce0d8	.rdata	ascii	4	back
0x005ce0e0	0x1ce0e0	.rdata	ascii	12	race options
0x005ce0f0	0x1ce0f0	.rdata	ascii	10	save data?
0x005ce104	0x1ce104	.rdata	ascii	11	clear data?
0x005ce110	0x1ce110	.rdata	ascii	4	race
0x005ce118	0x1ce118	.rdata	ascii	10	clear data
0x005ce124	0x1ce124	.rdata	ascii	5	?????
0x005ce12c	0x1ce12c	.rdata	ascii	9	save data
0x005ce138	0x1ce138	.rdata	ascii	11	danger data
0x005ce144	0x1ce144	.rdata	ascii	11	cheat lines
0x005ce150	0x1ce150	.rdata	ascii	10	slow lines
0x005ce15c	0x1ce15c	.rdata	ascii	12	inside lines
0x005ce16c	0x1ce16c	.rdata	ascii	10	race lines
0x005ce21c	0x1ce21c	.rdata	ascii	16	EgyptPushColumn1
0x005ce254	0x1ce254	.rdata	ascii	13	oaktreesprite
0x005ce298	0x1ce298	.rdata	ascii	20	RoundaboutStartCrane
0x005ce2b0	0x1ce2b0	.rdata	ascii	10	crane_shad
0x005ce2bc	0x1ce2bc	.rdata	ascii	11	barrel_shad
0x005ce308	0x1ce308	.rdata	ascii	21	right  (%f, %f, %f)


0x005ce320	0x1ce320	.rdata	ascii	20	up     (%f, %f, %f)

0x005ce338	0x1ce338	.rdata	ascii	20	at     (%f, %f, %f)

0x005ce350	0x1ce350	.rdata	ascii	20	pos    (%f, %f, %f)

0x005ce368	0x1ce368	.rdata	ascii	25	movement is (%f, %f, %f)

0x005ce3a0	0x1ce3a0	.rdata	ascii	26	we have reset the pontoon

0x005ce3e8	0x1ce3e8	.rdata	ascii	17	Created %d trees

