file,depth,section_id_hex,size,version,parent_section_id
original/toastaudio/pc/audio/pcdics/permdict.rws,0,0x00000809,2242976,0x1C020018,none
original/toastaudio/pc/audio/pcdics/permdict.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/permdict.rws,1,0x0000080C,2242884,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/rouabout.rws,0,0x00000809,1870830,0x1C020018,none
original/toastaudio/pc/audio/pcdics/rouabout.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/rouabout.rws,1,0x0000080C,1870738,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/sands.rws,0,0x00000809,2211050,0x1C020018,none
original/toastaudio/pc/audio/pcdics/sands.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/sands.rws,1,0x0000080C,2210958,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/storm.rws,0,0x00000809,1837262,0x1C020018,none
original/toastaudio/pc/audio/pcdics/storm.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/storm.rws,1,0x0000080C,1837170,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/superg.rws,0,0x00000809,1702036,0x1C020018,none
original/toastaudio/pc/audio/pcdics/superg.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/superg.rws,1,0x0000080C,1701944,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/training.rws,0,0x00000809,1467616,0x1C020018,none
original/toastaudio/pc/audio/pcdics/training.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/training.rws,1,0x0000080C,1467524,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/warzone.rws,0,0x00000809,2352226,0x1C020018,none
original/toastaudio/pc/audio/pcdics/warzone.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/warzone.rws,1,0x0000080C,2352134,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/english/bluejay.rws,0,0x0000080D,1974260,0x1C020018,none
original/toastaudio/pc/audio/pcdics/english/bluejay.rws,1,0x0000080E,8156,0x1C020018,0x0000080D
original/toastaudio/pc/audio/pcdics/english/bluejay.rws,1,0x0000080F,1966080,0x1C020018,0x0000080D
