pc_va,xbox_va,tier,pc_name,subsystem,confidence,scaffold
0x0044c370,0x0018acf0,prop-mnem,FUN_0044c370,render,C2,ambiguous
0x0044c4f0,0x0018b400,const,FUN_0044c4f0,render,C2,ambiguous
0x0044d5e0,0x0018a9a0,prop-weak,DepthChargePathSafetyCheck,powerups,C2,ambiguous
0x0044dfe0,0x00181c10,prop-weak,FUN_0044dfe0,audio,C2,ambiguous
0x0044dff0,0x00181be0,prop-weak,FUN_0044dff0,audio,C2,ambiguous
0x0044e070,0x00181b60,prop-weak,FUN_0044e070,audio,C2,ambiguous
0x00453eb0,0x0017fd40,prop-weak,FUN_00453eb0,gameplay,C2,ambiguous
0x004540c0,0x0017eb90,byte-full,DepthChargePerFrameTeardown,powerups,C2,ambiguous
0x00454130,0x0017eb50,byte-full,FUN_00454130,render,C2,flag
0x004541e0,0x0017ecb0,interval,FUN_004541e0,gameplay,C2,ok-asc
0x00454350,0x0017ef20,const,FUN_00454350,gameplay,C2,ambiguous
0x00454790,0x0017eb00,byte-full,FUN_00454790,gameplay,C2,ambiguous
0x004547c0,0x0017e9f0,byte-full,FUN_004547c0,gameplay,C2,flag
0x004548e0,0x0017ed90,string,FUN_004548e0,vehicle,C2,ambiguous
0x00454bd0,0x0017d540,mnem,FUN_00454bd0,render,C2,ambiguous
0x00454c60,0x0017d780,mnem,FUN_00454c60,render,C2,ambiguous
0x00455610,0x0017bb70,const,FUN_00455610,gameplay,C2,ambiguous
0x00456760,0x0017b3a0,string,FUN_00456760,vehicle,C2,ambiguous
0x00456c70,0x0017b240,byte-full,FUN_00456c70,gameplay,C2,ambiguous
0x004576b0,0x00178640,mnem,FUN_004576b0,gameplay,C2,ambiguous
0x00458630,0x00174da0,string,FUN_00458630,frontend,C2,ambiguous
0x004587a0,0x001754f0,string,FUN_004587a0,vehicle,C2,ambiguous
0x00458c70,0x00174c50,caller,FUN_00458c70,gameplay,C2,ambiguous
0x00458fd0,0x0008f7e0,mnem,FUN_00458fd0,gameplay,C2,flag
0x00459000,0x001758f0,const,FUN_00459000,gameplay,C2,ambiguous
0x00459290,0x00174a30,string,FUN_00459290,vehicle,C2,ambiguous
0x0045a0f0,0x00173640,prop-weak,FUN_0045a0f0,ai,C2,ambiguous
0x0045b350,0x00022060,prop-weak,RwInitNullStub,render,C3,ambiguous
0x0045bac0,0x001728d0,byte-full,PowerupSlotDeactivate,powerups,C2,ambiguous
0x0045bae0,0x00172f10,string,FUN_0045bae0,vehicle,C2,ok-asc
0x0045bba0,0x00173270,const,FUN_0045bba0,util,C2,ambiguous
0x0045bfe0,0x00172740,prop-weak,Bezier::GetLocate,util,C2,ambiguous
0x0045c110,0x00172200,prop-weak,FUN_0045c110,gameplay,C2,ambiguous
0x0045c350,0x001727b0,prop-weak,Bezier::Interpolate,util,C2,ambiguous
0x0045d460,0x00168c00,const,FUN_0045d460,audio,C2,ambiguous
0x0045daf0,0x0015d110,prop-weak,FUN_0045daf0,audio,C2,ambiguous
0x0045efe0,0x0015eda0,const,FUN_0045efe0,audio,C2,ambiguous
0x0045f5f0,0x0015e720,const,FUN_0045f5f0,audio,C2,flag
0x00461650,0x00162b90,const,FUN_00461650,audio,C2,ambiguous
0x004625b0,0x0015acc0,string,FUN_004625b0,audio,C2,flag
0x004627f0,0x00169200,prop-weak,FUN_004627f0,audio,C2,ambiguous
0x00462950,0x00168480,const,FUN_00462950,render,C2,flag
0x00463150,0x0015dbb0,const,FUN_00463150,audio,C2,ambiguous
0x00463640,0x00161b80,const,FUN_00463640,audio,C2,flag
0x00463c80,0x00161810,const,FUN_00463c80,audio,C2,ambiguous
0x004644a0,0x0015d730,const,FUN_004644a0,audio,C2,ambiguous
0x00464670,0x0015d470,const,FUN_00464670,audio,C2,flag
0x00464ca0,0x00160b90,const,FUN_00464ca0,audio,C2,ambiguous
0x004652b0,0x00167010,const,FUN_004652b0,audio,C2,ambiguous
0x004669b0,0x00169b70,string,FUN_004669b0,audio,C2,ambiguous
0x004671a0,0x0015a8a0,prop-weak,sub_004671a0,render,C2,ambiguous
0x00467210,0x0015a820,prop-weak,sub_00467210,render,C2,ambiguous
0x00467650,0x001565b0,const,VehicleWheelDrivetrainUpdate,vehicle,C2,ambiguous
0x00468980,0x001510d0,prop-weak,VehicleAeroStabilizer,vehicle,C2,ambiguous
0x00468b40,0x00150830,prop-weak,VehicleContactHistoryLookup,vehicle,C3,ambiguous
0x00468d80,0x001544a0,prop-weak,VehicleTerrainContactSolver,vehicle,C2,ambiguous
0x004694e0,0x00153d70,prop-weak,VehicleObjectContactSolver,vehicle,C2,ambiguous
0x00469aa0,0x001585c0,prop-weak,VehicleContactScanUpdate,vehicle,C2,ambiguous
0x00469df0,0x00152630,prop-weak,VehicleVehicleCollisionImpulse,vehicle,C2,ambiguous
0x0046b540,0x00151f10,const,FUN_0046b540,vehicle,C2,flag
0x0046c7d0,0x00158070,const,FUN_0046c7d0,vehicle,C2,ok-asc
0x0046ddb0,0x00158cc0,const,VehicleWheelForceIntegrator,vehicle,C2,ambiguous
0x0046e9e0,0x00155f90,const,FUN_0046e9e0,vehicle,C2,ambiguous
0x0046ef70,0x00150870,prop-weak,FUN_0046ef70,vehicle,C2,ambiguous
0x0046f6c0,0x00154da0,const,VehicleWheelContactSolver,vehicle,C2,flag
0x00470670,0x00159b50,const,VehicleControlUpdate,vehicle,C2,ok-asc
0x00470c70,0x00159ea0,const,FUN_00470c70,vehicle,C2,ambiguous
0x004715a0,0x0014ddb0,const,FUN_004715a0,ai,C2,ambiguous
0x00471ec0,0x0014e8a0,const,sub_00471ec0,camera,C2,ambiguous
0x00472380,0x0014dbd0,mnem,FUN_00472380,render,C2,ambiguous
0x004723d0,0x0014d230,byte-full,FUN_004723d0,boot,C2,ambiguous
0x004725c0,0x0014d1a0,byte-full,FUN_004725c0,render,C2,ambiguous
0x00472650,0x0014a010,mnem,FUN_00472650,util,C2,ambiguous
0x00472c60,0x0014bd80,prop-weak,ChromeBaseDraw,frontend,C3,ok-asc
0x00472f40,0x0014bab0,prop-weak,TextGradientV0V1Override,frontend,C3,ok-asc
0x004730b0,0x0014b940,prop-weak,TextGradientV2V3Override,frontend,C3,ok-asc
0x00473540,0x0014b4a0,prop-weak,GradientQuadHorizAlpha,frontend,C3,ok-asc
0x004736c0,0x0014b2f0,prop-weak,BorderQuadFourAlpha,frontend,C3,ok-asc
0x004739f0,0x0014b0a0,prop-weak,TextSpriteScaled,frontend,C2,ok-asc
0x00473ee0,0x0014c120,const,LogoOverlayDraw,frontend,C4,flag
0x004744a0,0x0014ad00,const,FUN_004744a0,render,C2,ambiguous
0x00474890,0x0014a7e0,prop-weak,FUN_00474890,gameplay,C2,ambiguous
0x00474f30,0x001490b0,mnem,FUN_00474f30,render,C2,ambiguous
0x00475210,0x0014a5e0,prop-weak,FUN_00475210,render,C2,ambiguous
0x00475830,0x00148410,mnem,FUN_00475830,render,C2,ambiguous
0x00475a00,0x00147680,prop-weak,FUN_00475a00,render,C2,ambiguous
0x00475a60,0x001475e0,mnem,PendingOpQueueFlush,util,C4,ambiguous
0x00475ab0,0x00147490,const,FUN_00475ab0,render,C2,ambiguous
0x00475ef0,0x00146670,prop-weak,FUN_00475ef0,render,C2,ambiguous
0x00475f90,0x001467c0,const,FUN_00475f90,render,C2,ambiguous
0x004762c0,0x00146c00,interval,FUN_004762c0,util,C2,ok-asc
0x00476320,0x00146c50,interval,FUN_00476320,render,C2,ok-asc
0x00476390,0x00146cf0,string,FUN_00476390,render,C2,ambiguous
0x00476df0,0x00145660,prop-weak,FUN_00476df0,render,C2,ambiguous
0x004770c0,0x00146120,const,FUN_004770c0,vehicle,C2,ambiguous
0x004775b0,0x00145410,string,FUN_004775b0,render,C2,ambiguous
0x004777d0,0x001453d0,mnem,FUN_004777d0,util,C2,ambiguous
0x00477920,0x00144480,const,FUN_00477920,util,C2,ambiguous
0x00477a10,0x00144340,const,FUN_00477a10,render,C2,ambiguous
0x00479330,0x00141e70,const,FUN_00479330,track,C2,ambiguous
0x0047a180,0x0013fda0,byte-full,FUN_0047a180,render,C2,ambiguous
0x0047a1e0,0x0013fcd0,byte-full,SkyFilename_Handler,track,C2,ambiguous
0x0047a280,0x0013fc30,byte-full,FUN_0047a280,track,C2,ambiguous
0x0047a320,0x0013fbb0,mnem,FUN_0047a320,track,C2,ambiguous
0x0047a3a0,0x0013fb10,byte-full,FUN_0047a3a0,track,C2,ambiguous
0x0047a4a0,0x0013fa10,byte-full,FUN_0047a4a0,track,C2,ambiguous
0x0047a610,0x0013f8a0,byte-full,FUN_0047a610,track,C2,ambiguous
0x0047a6f0,0x0013f830,mnem,FUN_0047a6f0,track,C2,ambiguous
0x0047a790,0x0013f780,mnem,FUN_0047a790,track,C2,ambiguous
0x0047a8b0,0x0013f600,mnem,FUN_0047a8b0,track,C2,ambiguous
0x0047aa50,0x0013f4a0,mnem,FUN_0047aa50,track,C2,ambiguous
0x0047ae80,0x0013f050,mnem,FUN_0047ae80,render,C2,ambiguous
0x0047af50,0x0013efa0,mnem,FUN_0047af50,render,C2,ambiguous
0x0047b0a0,0x0013ee30,mnem,FUN_0047b0a0,render,C2,ambiguous
0x0047b110,0x0013ede0,mnem,FUN_0047b110,render,C2,ambiguous
0x0047b160,0x0013ed90,mnem,FUN_0047b160,render,C2,ambiguous
0x0047b1b0,0x0013ed40,mnem,FUN_0047b1b0,render,C2,ambiguous
0x0047b200,0x0013ed10,byte-full,FUN_0047b200,render,C2,ambiguous
0x0047b230,0x0013ecf0,byte-full,FUN_0047b230,render,C2,ambiguous
0x0047b420,0x0013ec20,mnem,FUN_0047b420,render,C2,ambiguous
0x0047b480,0x0013eba0,byte-prefix,FUN_0047b480,gameplay,C2,ambiguous
0x0047b5b0,0x0013ea70,byte-prefix,FUN_0047b5b0,gameplay,C2,ambiguous
0x0047b6b0,0x0013ea00,byte-prefix,FUN_0047b6b0,gameplay,C2,ambiguous
0x0047d150,0x00138130,prop-weak,FUN_0047d150,gameplay,C2,ambiguous
0x0047d330,0x00137cb0,mnem,FUN_0047d330,gameplay,C2,ambiguous
