pc_va,xbox_va,size,tier,xbox_in_text,pc_name,subsystem,confidence
0x00552b60,0x0001b000,45,full,1,FontSys_InitSeq,hud,C2
0x00552d10,0x0001ab10,87,full,1,FontMatrix_Push,hud,C3
0x00557220,0x0001ccf0,39,full,1,FontSys_ShutdownDataPools,hud,C2
0x00559bc0,0x000b76f0,23,full,1,FUN_00559bc0,third-party-library[RenderWare-Physics-3.7],C1
0x00559c00,0x000b7730,31,full,1,FUN_00559c00,third-party-library[RenderWare-Physics-3.7],C1
0x0055ff70,0x000bda70,28,full,1,FUN_0055ff70,third-party-library[RenderWare-Physics-3.7],C1
0x005625e0,0x000bce90,30,full,1,FUN_005625e0,third-party-library[RenderWare-Physics-3.7],C1
0x00563de0,0x000c4460,16,full,1,FUN_00563de0,third-party-library[RenderWare-Physics-3.7],C1
0x0057c1b0,0x000c43f0,23,full,1,FUN_0057c1b0,third-party-library[RenderWare-Physics-3.7],C1
0x0057c2b0,0x000b6d00,37,full,1,FUN_0057c2b0,third-party-library[RenderWare-Physics-3.7],C1
0x0057c650,0x000916d0,19,full,1,FUN_0057c650,third-party-library[qhull-2002.1],C1
0x0057f080,0x000923d0,52,full,1,FUN_0057f080,third-party-library[qhull-2002.1],C1
0x00581290,0x00092e50,134,prefix,1,FUN_00581290,third-party-library[qhull-2002.1],C1
0x00583330,0x00097290,131,prefix,1,FUN_00583330,third-party-library[qhull-2002.1],C1
0x00584430,0x0009d0d0,680,prefix,1,FUN_00584430,third-party-library[qhull-2002.1],C1
0x0058edf0,0x0009e330,40,full,1,FUN_0058edf0,third-party-library[qhull-2002.1],C1
0x0058ee20,0x0009e360,42,full,1,FUN_0058ee20,third-party-library[qhull-2002.1],C1
0x0058f8e0,0x000a2000,357,full,1,FUN_0058f8e0,third-party-library[qhull-2002.1],C1
0x00594cd0,0x000ad450,43,full,1,FUN_00594cd0,third-party-library[qhull-2002.1-continuation],C2
0x0059a720,0x000ab400,17,full,1,FUN_0059a720,third-party-library[qhull-2002.1-continuation],C2
0x0059abe0,0x000ab8b0,240,prefix,1,FUN_0059abe0,third-party-library[qhull-2002.1-continuation],C2
0x0059ad80,0x000abf60,48,full,1,FUN_0059ad80,third-party-library[qhull-2002.1-continuation],C2
0x0059b9a0,0x000a33a0,263,prefix,1,FUN_0059b9a0,third-party-library[qhull-2002.1],C2
0x0059d1d0,0x000b6ae0,550,prefix,1,FUN_0059d1d0,third-party-library[qhull-2002.1],C2
0x0059e500,0x000b0770,453,prefix,1,FUN_0059e500,third-party-library[qhull-2002.1],C2
0x005a1720,0x000b2250,236,prefix,1,qh_printincidences,third-party-library[qhull-2002.1],C1
0x005a1aa0,0x000b5ca0,40,full,1,qh_printfacet,third-party-library[qhull-2002.1],C1
0x005a60e0,0x000e17b0,38,full,1,FUN_005a60e0,audio,C2
0x005a65a0,0x000e21d0,43,full,1,FUN_005a65a0,audio,C2
0x005a6dc0,0x000e3da0,34,full,1,FUN_005a6dc0,audio,C2
0x005a6df0,0x000e3dd0,18,full,1,FUN_005a6df0,audio,C2
0x005a7a40,0x000e1af0,31,full,1,FUN_005a7a40,audio,C2
0x005a7aa0,0x000e1b50,67,full,1,FUN_005a7aa0,audio,C2
0x005a7af0,0x000e1ba0,16,full,1,FUN_005a7af0,audio,C2
0x005a7b40,0x000e1bf0,16,full,1,FUN_005a7b40,audio,C2
0x005a7e70,0x000e1c10,46,full,1,FUN_005a7e70,audio,C2
0x005a9e10,0x000e5180,34,full,1,AudioSubStructTwoCallInit,audio,C3
0x005abf80,0x000eb420,17,full,1,AudioWaveVtableSlot1cDispatch,audio,C3
0x005ac7b0,0x000ec020,47,full,1,AudioSubStructDualInit,audio,C3
0x005ac880,0x000ec050,125,prefix,1,FUN_005ac880,audio,C2
0x005ad540,0x000e1ac0,34,full,1,FUN_005ad540,audio,C2
0x005add60,0x000e5050,22,full,1,FUN_005add60,audio,C2
0x005ae030,0x000ecca0,24,full,1,AudioSubStructCleanup,audio,C3
0x005aea40,0x000ed610,16,full,1,AudioAlignedFree,audio,C3
0x005b1080,0x000e7b00,18,full,1,FUN_005b1080,audio,C2
0x005b1110,0x000e7b90,33,full,1,FUN_005b1110,audio,C2
0x005b1140,0x000e7bc0,29,full,1,FUN_005b1140,audio,C2
0x005b1160,0x000e7be0,29,full,1,FUN_005b1160,audio,C2
0x005b11f0,0x000e7ce0,65,full,1,FUN_005b11f0,audio,C2
0x005b7880,0x000ee6c0,52,full,1,FUN_005b7880,audio,C2
0x005b7e20,0x000ee5c0,23,full,1,FUN_005b7e20,audio,C2
0x005c1cb7,0x001089e7,29,full,1,FUN_005c1cb7,third-party-library[msvc-crt-tail],C2
0x005c2470,0x000fa210,109,prefix,1,shortsort,boot,C2
0x005c2d84,0x000fb74f,23,full,1,_strtol,boot,C2
0x005c2f26,0x000f90a0,50,full,1,_wcscmp,boot,C2
0x005c2f58,0x000f9059,22,full,1,FUN_005c2f58,boot,C2
0x005c3340,0x000fec90,62,full,1,__cintrindisp2,boot,C2
0x005c337e,0x000fecce,61,full,1,__cintrindisp1,boot,C2
0x005c33bb,0x000fed0b,72,full,1,__ctrandisp2,boot,C2
0x005c340a,0x000fed5a,327,prefix,1,FUN_005c340a,boot,C2
0x005c3551,0x000feea1,51,full,1,__ctrandisp1,boot,C2
0x005c3584,0x000feed4,60,full,1,__fload,boot,C2
0x005c35c0,0x000fef5e,22,full,1,__inc,boot,C2
0x005c4440,0x00100cfb,263,prefix,1,_gmtime,boot,C2
0x005c8980,0x00107730,20,full,1,FUN_005c8980,audio,C2
0x005c9490,0x001084c0,44,full,1,FUN_005c9490,audio,C2
0x005ca2d0,0x000f9cd0,31,full,1,__aullshr,third-party-library[msvc-crt],C1
