rva,symbol,name,conf,subsystem,file,verdict,imm,detail
0042a920,PostTrophyEvent,Frontend::PostTrophyEvent,C4,save,CareerEvents.cpp,PASS,same,data=2 ours=20B orig=20B
0042a940,MenuTableSearch,MenuTableSearch,C3,frontend,MenuMenusMixed.cpp,PASS,same,data=3 ours=62B orig=62B
0042a980,MenuTableSearchAlt,MenuTableSearchAlt,C3,frontend,BatchAA_s5.cpp,PASS,same,data=3 ours=62B orig=62B
0042a9c0,ModeCodeLookup,ModeCodeLookup,C3,frontend,BatchAA_s4.cpp,PASS,same,data=1 ours=42B orig=41B
0042a9f0,GetFadeAlpha,GetFadeAlpha,C3,render,PromoLoop_sessionB.cpp,PASS,same,data=1 ours=6B orig=6B
0042aa00,MenuCursorStep,FUN_0042aa00,C3,frontend,MenuGetters.cpp,FAIL,DIFF,"data -0x67ed84 +-; imm -0x0,0x4 +-"
0042aab0,UtilInit898a90,sub_0042aab0,C3,util,UtilLeaves_ac.cpp,PASS,same,data=2 ours=21B orig=21B
0042aad0,MenuDimSet,MenuDimSet,C4,frontend,MenuChrome.cpp,PASS,same,data=1 ours=16B orig=15B
0042aae0,MenuIm2DQuad,MenuIm2DQuad,C4,frontend,MenuChrome.cpp,SKIP,,symbol absent from obj (mangled/static/inlined)
0042ac00,MenuGroupCount,MenuGroupCount,C3,frontend,MenuGetters.cpp,SKIP,,symbol absent from obj (mangled/static/inlined)
0042ac90,MenuEntryGet,FUN_0042ac90,C3,frontend,MenuNav.cpp,FAIL,DIFF,data -0x67ed40 +-; imm -- +0x19fb5
0042ad90,Find42ad90_RegAbi,FUN_0042ad90,C3,frontend,PromoLoop_sessionB.cpp,PASS,DIFF,"imm -0xff070000,0xffffffff +0xc"
0042add0,Find42add0_RegAbi,FUN_0042add0,C3,frontend,PromoLoop_sessionB.cpp,FAIL,DIFF,"data -0x67e9f8,0x67ed38 +-; imm -0x6,0xff070000,0xffffffff +0x8"
0042ae10,MenuReadinessCheckA,MenuReadinessCheckA,C4,frontend,MenuStateMachine.cpp,FAIL,same,"data -0x7f1762,0x7f1a54 +0x7f1761,0x7f1a53"
0042aeb0,MenuReadinessCheckB,MenuReadinessCheckB,C3,frontend,MenuStateMachine.cpp,FAIL,same,"data -0x7f1763,0x7f1a54 +0x7f1762,0x7f1a53"
0042af50,MenuReadinessCheckC,MenuReadinessCheckC,C3,frontend,MenuStateMachine.cpp,FAIL,same,"data -0x7f1761,0x7f1a54 +0x7f1760,0x7f1a53"
0042af50,MenuReadinessCheck,MenuReadinessCheckC,C3,frontend,TimerReset.cpp,FAIL,same,"data -0x7f1761,0x7f1a54 +0x7f1760,0x7f1a53"
0042aff0,MenuButtonDetectA,FUN_0042aff0,C4,frontend,MenuNav.cpp,FAIL,DIFF,"data -0x7f1092,0x7f10de,0x7f112a,0x7f1176,0x7f11c2,0x7f120e +0x7f1765; imm -0x7,0x10,0x41 +-0x6"
0042b180,MenuButtonDetectB,FUN_0042b180,C4,frontend,MenuNav.cpp,FAIL,DIFF,"data -0x7f1093,0x7f10df,0x7f112b,0x7f1177,0x7f11c3,0x7f120f +0x7f1766; imm -0x7,0x10,0x41 +-0x6"
0042b310,MenuButtonDetectC,FUN_0042b310,C4,frontend,MenuButtonDetect.cpp,FAIL,DIFF,data -0x67ed40 +-; imm -0x10 +0x8
0042b540,MenuButtonDetectD,FUN_0042b540,C3,frontend,MenuButtonDetect.cpp,FAIL,DIFF,data -0x67ed40 +-; imm -0x10 +0x8
0042b770,MenuButtonDetectE,FUN_0042b770,C4,frontend,MenuButtonDetect.cpp,PASS,DIFF,"imm -0x1,0x10 +0x0,0x8"
0042b890,RenderWidthSet,RenderWidthSet,C3,render,RenderSubmit_o4.cpp,PASS,same,data=1 ours=12B orig=12B
0042b8a0,RenderHeightSet,RenderHeightSet,C3,render,RenderSubmit_o4.cpp,PASS,same,data=1 ours=12B orig=12B
0042b8b0,ScreenWidthGet,ScreenWidthGet,C3,hud,MenuButtonDetect.cpp,PASS,same,data=1 ours=8B orig=7B
0042b8c0,ScreenHeightGet,ScreenHeightGet,C4,hud,MenuButtonDetect.cpp,PASS,same,data=1 ours=8B orig=7B
0042b8d0,StatePhaseIsIdle,StatePhaseIsIdle,C4,util,FrameDispatch.cpp,PASS,same,data=1 ours=12B orig=14B
0042b8e0,StatePhaseIsTwo,FUN_0042b8e0,C3,util,GameStateCluster.cpp,PASS,same,data=1 ours=13B orig=15B
0042b8f0,StatePhaseIsFinal,StatePhaseIsFinal,C3,util,FrameDispatch.cpp,PASS,same,data=1 ours=13B orig=15B
0042b900,Global67eca4Get,Global67eca4Get,C4,util,PromoLoop_round27.cpp,PASS,same,data=1 ours=6B orig=6B
0042b910,RaceEndConstGet,FUN_0042b910,C3,util,GameStateCluster.cpp,PASS,same,data=0 ours=6B orig=6B
0042b920,ConstantGetter22,ConstantGetter22,C3,frontend,MenuNearLeaves_s6.cpp,PASS,same,data=0 ours=6B orig=6B
0042b930,MenuAlphaGet,MenuAlphaGet,C4,frontend,MenuGetters.cpp,PASS,same,data=1 ours=6B orig=6B
0042b940,StatePhaseSubSet,FUN_0042b940,C3,util,GameStateCluster.cpp,PASS,same,data=1 ours=10B orig=10B
0042b950,Set7f1a0c_1000,Set7f1a0c_1000,C3,util,PromoLoop_round33.cpp,PASS,same,data=1 ours=11B orig=11B
