rva,symbol,name,conf,subsystem,file,installed,verdict,imm,detail
005641b0,FUN_005641b0,FUN_005641b0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x1,0x20,0x4100 +0x2,0x4"
00564310,FUN_00564310,FUN_00564310,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x20,0x4100,0xffffffff +0x4,0xc,0x1f"
005646c0,FUN_005646c0,FUN_005646c0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore4.cpp,yes,PASS,DIFF,"imm -0x0,0x8,0x41,0x2ad8,0x4100,0x8000 +0x44,0x2adc"
00564c80,FUN_00564c80,FUN_00564c80,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore4.cpp,yes,PASS,DIFF,"imm -0x41,0x4c,0x100,0x400 +0x1,0x44,0x60,0xffff0000"
00565120,FUN_00565120,FUN_00565120,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0xffff +-
00565160,FUN_00565160,FUN_00565160,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0xffff +-
005651b0,FUN_005651b0,FUN_005651b0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x400,0xffff +-"
00565200,FUN_00565200,FUN_00565200,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0xffff +-
00565260,FUN_00565260,FUN_00565260,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore4.cpp,yes,PASS,DIFF,"imm -0x80,0xffff +0x0,0x18,0x2208"
00565550,FUN_00565550,FUN_00565550,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0xffff +-
00565ef0,FUN_00565ef0,FUN_00565ef0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x41,0x100 +0x1,0x44"
00565fa0,FUN_00565fa0,FUN_00565fa0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0x5 +-
00566200,FUN_00566200,FUN_00566200,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0x24 +0x18
005667c0,FUN_005667c0,FUN_005667c0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x4100 +0x14,0xfffffff8"
00566830,FUN_00566830,FUN_00566830,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x5,0x4100 +0x4"
005675d0,FUN_005675d0,FUN_005675d0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -- +0x0,0x1f"
00567c00,FUN_00567c00,FUN_00567c00,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,DIFF,imm -- +0x0
00567c60,FUN_00567c60,FUN_00567c60,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore11.cpp,yes,PASS,DIFF,"imm -0x2,0x8,0x10 +0x20"
00567f00,FUN_00567f00,FUN_00567f00,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore11.cpp,yes,PASS,DIFF,"imm -0xffff +-0x1,0x8,0xb4"
005684c0,FUN_005684c0,FUN_005684c0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -- +0x0
00568560,FUN_00568560,FUN_00568560,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,same,data=0 ours=135B orig=143B
005685f0,FUN_005685f0,FUN_005685f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore11.cpp,yes,PASS,DIFF,imm -- +0x8
00568990,FUN_00568990,FUN_00568990,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore21.cpp,yes,PASS,DIFF,"imm -0x54,0x37c,0xffff +-0x1,0x6c,0xe0"
00568dd0,FUN_00568dd0,FUN_00568dd0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore11.cpp,yes,PASS,DIFF,"imm -0xc,0x10 +-0x1,0x2c,0x3ffd"
00568fd0,FUN_00568fd0,FUN_00568fd0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore11.cpp,yes,PASS,DIFF,"imm -0x8,0x4100 +0x0,0x3ffd"
0056b7a0,FUN_0056b7a0,FUN_0056b7a0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore18.cpp,yes,PASS,DIFF,imm -0x100 +-
0056b9d0,FUN_0056b9d0,FUN_0056b9d0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore22.cpp,yes,PASS,same,data=0 ours=86B orig=95B
