t,fires,px,py,pz,tx,ty,tz,elev,azim,zoom,pairA,pairB,c0x,c0y,c0z,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z
1781117716944,659,-5.86826753616333,8.257399559020996,-15.594571113586426,6.547510147094727,-8.26604175567627,-4.254961967468262,46.63134765625,123.0181884765625,6.57723331451416,0,2,-0.4568963348865509,-0.017627131193876266,-16.46934700012207,1.4143354892730713,-0.0036024947185069323,-24.47467613220215,3.2585558891296387,-1.2540500216935653e-40,-23.772544860839844,3.75130558013916,-2.2244490857672574e-32,-21.356163024902344
1781117716950,660,-5.869596481323242,8.211959838867188,-15.615045547485352,6.547482967376709,-8.221039772033691,-4.254785537719727,46.475189208984375,123.0172119140625,6.558963298797607,0,2,-0.45727959275245667,-0.01850246638059616,-16.497407913208008,1.4273576736450195,-0.0036058169789612293,-24.476842880249023,3.2349729537963867,-1.2540500216935653e-40,-23.77511978149414,3.754117012023926,-1.6381689273059399e-34,-21.356639862060547
1781117716955,661,-5.874980926513672,8.170205116271973,-15.650681495666504,6.550939083099365,-8.179720878601074,-4.242066383361816,46.345703125,122.92509460449219,6.542171001434326,0,2,-0.45766177773475647,-0.019375715404748917,-16.525392532348633,1.440826654434204,-0.0036097466945648193,-24.479055404663086,3.2123351097106934,-1.2540500216935653e-40,-23.777812957763672,3.7573962211608887,-2.0189115475372788e-36,-21.357196807861328
1781117716962,662,-5.881272315979004,8.128804206848145,-15.690472602844238,6.555738925933838,-8.138754844665527,-4.225857734680176,46.220367431640625,122.80598449707031,6.523803234100342,0,2,-0.45804300904273987,-0.02024618163704872,-16.55330467224121,1.454759120941162,-0.003613935550674796,-24.48130989074707,3.19063663482666,-1.2540500216935653e-40,-23.78061294555664,3.7611608505249023,-3.9213756859462247e-38,-21.357837677001953
1781117716966,663,-5.888448238372803,8.089773178100586,-15.730841636657715,6.5615949630737305,-8.100156784057617,-4.2090044021606445,46.0989990234375,122.67855072021484,6.5069193840026855,0,2,-0.4584232270717621,-0.021114982664585114,-16.581144332885742,1.4691708087921143,-0.003617942566052079,-24.48360252380371,3.1698708534240723,-1.2540500216935653e-40,-23.78350830078125,3.765428066253662,-1.1422039834650157e-39,-21.358562469482422
1781117716972,664,-5.894821643829346,8.050893783569336,-15.772493362426758,6.566783428192139,-8.061710357666016,-4.19087028503418,45.981201171875,122.54568481445312,6.489992618560791,0,2,-0.4588024914264679,-0.021981127560138702,-16.608911514282227,1.4840781688690186,-0.003622564021497965,-24.485933303833008,3.150031089782715,-1.2540500216935653e-40,-23.786483764648438,3.770214557647705,-4.771141011333137e-41,-21.359378814697266
1781117716979,665,-5.901474475860596,8.014013290405273,-15.813027381896973,6.572576522827148,-8.025260925292969,-4.173457145690918,45.869903564453125,122.41472625732422,6.4745659828186035,0,2,-0.4591808021068573,-0.02284540794789791,-16.636606216430664,1.4994986057281494,-0.003626605262979865,-24.488298416137695,3.1311116218566895,-1.2540500216935653e-40,-23.78951644897461,3.7755398750305176,-1.4797711783270068e-42,-21.36029052734375
1781117716983,666,-5.907411575317383,7.976869106292725,-15.853340148925781,6.578369617462158,-7.988546371459961,-4.156211853027344,45.75335693359375,122.28466796875,6.457553863525391,0,2,-0.4595581591129303,-0.023707306012511253,-16.664236068725586,1.515448808670044,-0.003631765488535166,-24.490690231323242,3.113105297088623,-1.2540500216935653e-40,-23.792583465576172,3.7814221382141113,-6.598961097035285e-39,-21.361305236816406
1781117716990,667,-5.912214279174805,7.939746856689453,-15.893853187561035,6.583395957946777,-7.951852798461914,-4.138550758361816,45.6400146484375,122.15486907958984,6.440496921539307,0,2,-0.4599345624446869,-0.02456654980778694,-16.69179344177246,1.5319480895996094,-0.003637179732322693,-24.493104934692383,3.0960049629211426,-1.2540500216935653e-40,-23.795665740966797,3.7878799438476562,-7.305728398292935e-39,-21.3624267578125
1781117716994,668,-5.9171552658081055,7.904240131378174,-15.934682846069336,6.588567733764648,-7.916774272918701,-4.120441436767578,45.531890869140625,122.02153778076172,6.424951076507568,0,2,-0.4603098928928375,-0.025424379855394363,-16.719270706176758,1.5490155220031738,-0.0036423057317733765,-24.495534896850586,3.0798020362854004,-1.2540500216935653e-40,-23.79874038696289,3.794933795928955,-7.405851173568944e-39,-21.363662719726562
1781117717000,669,-5.921616077423096,7.869126319885254,-15.97491455078125,6.593814849853516,-7.882086753845215,-4.1026763916015625,45.424652099609375,121.88988494873047,6.40936803817749,0,2,-0.46068426966667175,-0.026279335841536522,-16.746679306030273,1.56666898727417,-0.003648306941613555,-24.49799156188965,3.064488410949707,-1.2540500216935653e-40,-23.80178451538086,3.802602767944336,-7.424261432793243e-39,-21.36501693725586
1781117717006,670,-5.925832271575928,7.834249496459961,-16.014801025390625,6.599208354949951,-7.847635746002197,-4.085029602050781,45.3177490234375,121.75823974609375,6.394528865814209,0,2,-0.4610576331615448,-0.02713242918252945,-16.774015426635742,1.584928035736084,-0.003652696032077074,-24.5004825592041,3.0500569343566895,-1.2540500216935653e-40,-23.804779052734375,3.810908317565918,-7.42858583985415e-39,-21.366504669189453
1781117717011,671,-5.929537296295166,7.800271987915039,-16.055498123168945,6.604207992553711,-7.814082622528076,-4.066499710083008,45.21356201171875,121.62240600585938,6.378871440887451,0,2,-0.4614301025867462,-0.02798314020037651,-16.801286697387695,1.603811502456665,-0.003655300009995699,-24.5030460357666,3.036501884460449,-1.2540500216935653e-40,-23.807716369628906,3.8198704719543457,-7.429866626650542e-39,-21.368133544921875
1781117717017,672,-5.966668605804443,7.774975299835205,-16.111980438232422,6.6109490394592285,-7.789287567138672,-4.049200057983398,45.137420654296875,121.48741149902344,6.363961219787598,0,2,-0.4618016183376312,-0.028831887990236282,-16.8284854888916,1.6233372688293457,-0.0036572131793946028,-24.50569725036621,3.0238146781921387,-1.2540500216935653e-40,-23.81057357788086,3.829509735107422,-7.430340265531484e-39,-21.369915008544922
1781117717022,673,-6.014369487762451,7.7532639503479,-16.174692153930664,6.617702484130859,-7.768106460571289,-4.0318145751953125,45.070587158203125,121.35171508789062,6.349803447723389,0,2,-0.4621722400188446,-0.029678314924240112,-16.855619430541992,1.6435315608978271,-0.003656660905107856,-24.5084285736084,3.0119833946228027,-1.2540500216935653e-40,-23.813312530517578,3.839846134185791,-7.43055606549499e-39,-21.371868133544922
1781117717028,674,-6.065187454223633,7.734589576721191,-16.239253997802734,6.6251115798950195,-7.749972343444824,-4.014623641967773,45.0111083984375,121.21461486816406,6.33561372756958,0,2,-0.4625419080257416,-0.03052295558154583,-16.8826847076416,1.6644151210784912,-0.0036564525216817856,-24.511259078979492,3.000995635986328,-1.2540500216935653e-40,-23.81589126586914,3.8509011268615723,-7.430676577162922e-39,-21.374011993408203
1781117717033,675,-6.115621089935303,7.7181782722473145,-16.305301666259766,6.632138252258301,-7.734103679656982,-3.9963855743408203,44.96728515625,121.07225036621094,6.322183132171631,0,2,-0.4629106819629669,-0.031365178525447845,-16.909685134887695,1.6860122680664062,-0.0036558620631694794,-24.514192581176758,2.990830898284912,-1.2540500216935653e-40,-23.818283081054688,3.8626937866210938,-7.430757852473853e-39,-21.37637710571289
1781117717039,676,-6.165037155151367,7.7037434577941895,-16.37065887451172,6.639911651611328,-7.720211505889893,-3.978658676147461,44.92327880859375,120.93017578125,6.308724403381348,0,2,-0.46327856183052063,-0.03220506012439728,-16.936620712280273,1.7083415985107422,-0.0036559554282575846,-24.517229080200195,2.981454849243164,-1.2540500216935653e-40,-23.820484161376953,3.875227928161621,-7.430822312203212e-39,-21.37899398803711
1781117717046,677,-6.212890625,7.691493034362793,-16.435583114624023,6.648065567016602,-7.708503246307373,-3.960979461669922,44.88726806640625,120.786865234375,6.295236110687256,0,2,-0.46364542841911316,-0.03304361179471016,-16.96347999572754,1.7314302921295166,-0.0036553943064063787,-24.520368576049805,2.972837448120117,-1.2540500216935653e-40,-23.82250213623047,3.8884963989257812,-7.430881166738714e-39,-21.38189697265625
1781117717050,678,-6.259061813354492,7.6807661056518555,-16.500185012817383,6.656572341918945,-7.698318958282471,-3.9432296752929688,44.85687255859375,120.64169311523438,6.282515525817871,0,2,-0.46401140093803406,-0.03387940302491188,-16.99027442932129,1.7553067207336426,-0.0036661119665950537,-24.523530960083008,2.964951992034912,-1.2540500216935653e-40,-23.82434844970703,3.902505874633789,-7.430926008289572e-39,-21.38504409790039
1781117717056,679,-6.303493976593018,7.672497272491455,-16.565364837646484,6.665117263793945,-7.6905927658081055,-3.924623489379883,44.8355712890625,120.4908447265625,6.270566463470459,0,2,-0.46437641978263855,-0.03471345454454422,-17.017000198364258,1.7799992561340332,-0.003676271066069603,-24.52669334411621,2.957770824432373,-1.2540500216935653e-40,-23.826034545898438,3.9172539710998535,-7.430962442049644e-39,-21.388439178466797
1781117717062,680,-6.3459391593933105,7.665849208831787,-16.629974365234375,6.673913478851318,-7.6844868659973145,-3.906179428100586,44.8203125,120.34001922607422,6.258594036102295,0,2,-0.4647406041622162,-0.03554508462548256,-17.04366111755371,1.8055336475372314,-0.003687355201691389,-24.52984046936035,2.951268196105957,-1.2540500216935653e-40,-23.82756805419922,3.932736396789551,-7.430990468018931e-39,-21.392086029052734
1781117717068,681,-6.387134552001953,7.66176700592041,-16.69394874572754,6.6835784912109375,-7.6809468269348145,-3.888011932373047,44.81085205078125,120.18766021728516,6.246599197387695,0,2,-0.4651038348674774,-0.03637506440281868,-17.07025718688965,1.8319389820098877,-0.0036984372418373823,-24.5329532623291,2.945417881011963,-1.2540500216935653e-40,-23.82895278930664,3.94895076751709,-7.43101288879436e-39,-21.39599609375
1781117717074,682,-6.426370143890381,7.659754276275635,-16.758710861206055,6.692957878112793,-7.679475784301758,-3.868776321411133,44.809112548828125,120.02947998046875,6.235383033752441,0,2,-0.4654662311077118,-0.03720268979668617,-17.09678840637207,1.8592426776885986,-0.0037099081091582775,-24.536012649536133,2.940195083618164,-1.2540500216935653e-40,-23.83019256591797,3.9658946990966797,-7.43103250697286e-39,-21.40017318725586
1781117717079,683,-6.4642205238342285,7.659445762634277,-16.8226261138916,6.70322322845459,-7.679708957672119,-3.85003662109375,44.813720703125,119.87113952636719,6.224146842956543,0,2,-0.46582773327827454,-0.03802791237831116,-17.123254776000977,1.8874738216400146,-0.0037214672192931175,-24.539003372192383,2.935575485229492,-1.2540500216935653e-40,-23.83129119873047,3.9835615158081055,-7.431046519957504e-39,-21.40462875366211
